"row"	"Species"	"genus"	"family"	"order"	"group"	"Growth.form"	"P50"	"HSM"	"MinWP_md"	"MinWP_pd"	"PItlp"	"Ks"	"Kl"	"Hv"	"WUE"	"SLA"	"Aarea"	"Amass"	"LL"	"pLL"	"WD"	"N"	"Narea"	"Hmax"	"Rd"	"lat_mean"	"long_mean"	"MAT_mean"	"MAP_mean"	"biome"
"1"	"Abarema jupunba"	"Abarema"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	-1.595426667	NA	NA	NA	-29.9537798169231	13.0561952002301	NA	NA	NA	NA	0.580114285714286	27.2449435454545	0.208674450156615	45	NA	-1.5682570731757	-63.9739388240266	24.9686363636364	2534.76103896104	"Tropical forest savanna"
"2"	"Abarema mataybifolia"	"Abarema"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	0.938463231622463	-30.13179932	12.8928912154671	NA	NA	NA	NA	0.596985584595999	35.9962999999999	0.279194940827676	28	NA	0.46528093124356	-54.3749934483073	26.328125	2359.66666666667	"Tropical forest savanna"
"3"	"Abies alba"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-3.76516666666667	-0.23483333333333	-4	NA	-2	1.299505	NA	0.588012	-27.66	5.76881378481822	5.34475249185127	0.028748957515633	98.0618610477906	519.868421052632	0.505118212355352	13.2675329452232	0.229987193903526	68	NA	53.6631479218694	9.14074501023687	7.20190080563948	899.413897280967	"Temperate forest"
"4"	"Abies balsamea"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-2.3114818046	NA	NA	NA	NA	1.46126362857143	0.0002662	26.6	NA	4.28	NA	NA	NA	200	0.437589324	15.8114714923288	0.369426904026374	30	0.508	47.9286870829378	-68.8679855781558	3.74234567901235	973.064814814815	"Temperate forest"
"5"	"Abies concolor"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-5.033328	1.750508	-3.28282	-1.96416	NA	0.8768685	NA	NA	NA	3.79004827586207	NA	NA	NA	320	0.398568	12.7018333333333	0.335136452330391	60	1.016	45.4249290456618	-60.1084035332533	8.18235294117647	736.772058823529	"Mediterranean"
"6"	"Abies grandis"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-3.6511666665	1.1511666665	-2.5	NA	-2.4	NA	NA	NA	NA	NA	NA	NA	36	297.142857142857	0.45419926	14.8	NA	100	1.5	48.5609431618148	-18.1515540591544	8.79078125	876.31875	"Mediterranean"
"7"	"Abies lasiocarpa"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-3.52741625	2.02741625	-1.5	NA	NA	0.287227	6.28e-05	3.34533	-25.9	3.94765809060841	4.388727891	0.015927053632	96	262.5	0.343305133071429	13.9657659574468	0.353773443314956	52	1.016	48.8417537763514	-106.706565124341	2.47878540305011	886.245098039216	"Temperate forest"
"8"	"Abies nordmanniana"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-4	NA	NA	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	466.666666666667	0.410371006	NA	NA	70	NA	49.368144128734	11.6979018034646	8.41109785202864	785.303102625298	"Mediterranean"
"9"	"Abies pinsapo"	"Abies"	"Pinaceae"	"Pinales"	"Gymnosperms"	"W"	-4.1503333335	1.3503333335	-2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	275	0.458650760666667	NA	NA	60	NA	38.8243456815967	2.78598075581771	11.8062198067633	814.942028985507	"Mediterranean"
"10"	"Acacia aneura"	"Acacia"	"Fabaceae"	"Fabales"	"Angiosperms"	"W"	NA	NA	NA	NA	NA	NA	NA	9.1500000034969	NA	3.25906235349273	NA	NA	NA	NA	0.9770338	17.4338353705882	0.534934084703976	15	NA	-27.4511701774701	133.943896581379	20.5993359375	256.26328125	"Desert"
